,username,accountname,peer follower,follower,time on Twitter
96,@beckyphilmath,Becky Morris,218,1601,7
97,@SimoneWebbUCL,Simone Webb,217,3942,5
98,@kristinamusholt,Kristina Musholt 🇺🇦,217,1767,11
99,@LynneTirrell,Dr. Lynne Tirrell,217,1687,10
100,@Ema_SB,Ema Sullivan-Bissett,217,1505,12
101,@rochellehd,Rochelle d,216,4924,10
102,@freganmitts,Megan Fritts,216,3162,4
103,@cpavese19,carlotta pavese,216,1340,6
104,@AnnaCiaunica,Anna Ciaunica,215,6700,5
105,@Ale1808,Alessandra Tanesini,215,1425,13
106,@MorganKThomp,Morgan Thompson,215,1097,4
107,@jdriver350,Julia Driver,213,1090,7
108,@Docstockk,Kathleen Stock,212,85543,6
109,@sabrina_p_leeds,Big PhD Energy (aka No Energy),210,3131,1
110,@DrLeighMJohnson,Dr. Leigh M. Johnson,207,2348,11
111,@ManonGarciaFR,Manon Garcia,206,18119,3
112,@karinavold,Karina Vold,205,3453,6
113,@alicemurphs,Alice Murphy,205,1512,7
114,@drangiehobbs,Angie Hobbs,204,6419,12
115,@laurenamslater,Lauren Slater,204,1593,6
116,@ProfYolonda,"Yolonda with an ""o"" in the middle",203,3463,8
117,@AlisaBokulich,Alisa Bokulich,203,1724,1
118,@AlisonGopnik,Alison Gopnik,201,14908,10
119,@Lilyfrank16,dr. Lily frank,201,1955,5
120,@DrZimmermann,Annette Zimmermann,199,3931,3
121,@BritHereNow,Brit Brogaard,199,2523,12
122,@mmmccabe1,Mary Margaret McCabe,198,1983,7
123,@philoso_panda,Rebecca Scott,196,1115,4
124,@TaniaLombrozo,Tania Lombrozo,194,10606,9
125,@zenahitz,Zena Hitz,194,9744,2
126,@nologos_,venus infers 🪰,194,4373,3
127,@giocalagiocala,Antonella Mallozzi,194,2253,5
128,@vcwills,Vanessa Wills,189,3556,13
129,@HelgaVarden,Helga Varden 🇺🇦,188,2186,2
130,@SusanBrison,SJ Brison,188,1928,10
131,@Susanne_Bobzien,Susanne Bobzien,188,1777,6
132,@TheRealEGS,Eleanor Gordon-Smith,186,6647,12
133,@caseygripps,casey 🖤,183,3466,4
134,@TheSandyGrant,Sandy Grant,182,5376,4
135,@hildherlo,Hilda Hernández,181,4523,12
136,@djr113,Debbie Roberts,181,1502,11
137,@mkrishnamurthyX,Meena Krishnamurthy,181,1252,1
138,@p_a_marino,Patricia Marino,180,1427,8
139,@VlastaSikimic,Vlasta Sikimic,180,1397,4
140,@SanjanaWrites,Sanjana Rajagopal 🕊,179,1996,5
141,@the_stardust,Juliana de Albuquerque,178,8745,13
142,@f_woollard,Fiona Woollard,178,1308,8
143,@AllisonBarnes8,Allison Barnes,177,1560,10
144,@ebshupe,Eli Shupe,177,1356,4
145,@SereneKhader,Serene Khader,177,1314,8
146,@ms_brizzle,B.,176,1032,7
