,username,accountname,peer follower,follower,time on Twitter
999,@svial,"Stéphane Vial, Ph.D.",27,5438,13
1000,@ProfGeorgeYancy,George Yancy,27,2110,4
1001,@Plato4Now,Patrick Lee Miller,27,1355,4
1002,@srjosekarlos,José Carlos Ruiz (filosofía),26,20903,10
1003,@JesperAhlin,Jesper Ahlin Marceta,26,3569,10
1004,@jmbowness,jmbowness,26,2120,13
1005,@Fellwater,"Brendan Myers, PhD",26,1243,9
1006,@rlcaves,R L Caves 🎲📖🐕,26,1159,13
1007,@BHL,Bernard-Henri Lévy,25,123836,12
1008,@MarinaGarces,Marina Garcés,25,43979,10
1009,@santiagonavajas,Santiago Navajas,25,17703,13
1010,@hilzoy,hilzoy,25,4740,12
1011,@astral_monad,Dr. Wanyoung Kim ⚛️🌊🤍,25,1602,6
1012,@Apraxique,Romain,24,2572,10
1013,@WordsofMercury,Alan Bowden,24,2010,10
1014,@RoxanneDes4ges,Roxanne Desforges,24,1955,11
1015,@Su_philos,Sunaina Arya,24,1736,4
1016,@realbriankemple,Brian Kemple · A Man Who Likes Philosophy,24,1733,9
1017,@auladefilosofia,Eugenio Sánchez,24,1577,13
1018,@ibnreilly,Francisco O'Reilly,24,1391,11
1019,@DavidCorfield8,David Corfield,24,1253,4
1020,@brunskellevans,Dr H Brunskell-Evans,23,13013,9
1021,@JMKuukkanen,Jouni-Matti Kuukkanen,23,1020,4
1022,@juanfermejia,Juan F Mejia M,22,11245,13
1023,@itirerhart,Itır Erhart,22,9526,10
1024,@Filoffen,Carsten Fogh Nielsen,22,4809,13
1025,@SoniaSikka4,Sonia Sikka,22,3731,2
1026,@DougGeivett,Doug Geivett,22,1235,13
1027,@philo_religion,Dusty,22,1022,4
1028,@Enthoven_R,Raphaël Enthoven,21,201050,8
1029,@ben_rog,Ben Rogers,21,5343,10
1030,@boone,Boone B. Gorges,21,3592,10
1031,@PLuegotuiteo,"pienso,luegotuiteo",21,1644,4
1032,@MonsieurPhi,MrPhi,20,27328,5
1033,@JokeHermsen,Joke Hermsen,20,5753,12
1034,@ntshmccrthy,Natasha McCarthy,20,1278,11
1035,@chipperpj,PJ Mariano Capistrano,20,1119,11
1036,@Abel_Ros,Abel Ros,19,13623,11
1037,@pabloabitbol,Pablo Abitbol,19,5796,13
1038,@LauraFBelli,Laura F Belli,19,5374,12
1039,@John_H_Spencer,"John H Spencer, PhD",19,5290,6
1040,@coenbrummer,Coen Brummer,19,3736,13
1041,@gprieto2,Gerard Prieto🎗,19,1981,12
1042,@ytb_at_twt,ytb,18,6600,12
1043,@angelo_bottone,Angelo Bottone,18,3713,5
1044,@minaokukita,Minao Kukita 久木田水生,18,1866,11
1045,@KirstenFisher,Kirsten J. Fisher,18,1706,11
1046,@msanles,Manuel Sanlés,18,1130,9
1047,@BarbaraBleisch,Bleisch,17,8542,8
1048,@lizbruton,Dr Elizabeth Bruton (she / her) 🏳️‍🌈,17,3049,10
1049,@rrgould,Rebecca Ruth Gould,17,2237,9
1050,@moirapez,Moira Pérez #MilicosNuncaMás,17,1636,4
1051,@AsmaaSpectrum,اسْمَاء,17,1107,12
1052,@XavierAntich,xavier antich,16,38828,11
1053,@FdezLiriaCarlos,Carlos Fernández Liria,16,10363,3
1054,@OrangoQuango,Rodrigo Nunes,16,7327,8
1055,@EmmanuelCS_,Emmanuel Chamorro,16,2061,8
1056,@FrankMartela,Frank Martela,15,10564,12
1057,@jourde,François Jourde,15,6041,13
1058,@YuvalEyon,Yuval Eylon,15,1089,4
1059,@platom___,Tomás Molina,14,27136,3
1060,@Decafquest,Mahmoud Rasmi,14,6508,3
1061,@PhilippHuebl,Philipp Huebl,14,3135,3
1062,@AndrewWNewton,Andrew Newton,14,2633,13
1063,@schelestoller,Eduardo Schele Stoller,14,2503,11
1064,@ded6ajd,Andrew John Davis,14,1959,8
1065,@OnSophiaStreet,Rabbi Dr Laura Duhan-Kaplan 🇨🇦🇺🇸🕊,14,1866,10
1066,@KellyOliverBook,Kelly Oliver,14,1653,7
1067,@NatalieBrender,Natalie Brender,14,1653,11
1068,@JaimeNubiola,Jaime Nubiola,14,1607,10
1069,@roxrodri,Roxana Rodriguez Ortiz,14,1282,12
1070,@Hasclepio,Jesús Palomar,13,2308,10
1071,@VishwaAdluri,Vishwa Adluri,12,3002,7
1072,@MitchOStokes,Mitch Stokes,12,1223,10
1073,@lsanger,Larry Sanger,11,41150,14
1074,@pedrojgrande,Pedro Grande,11,1093,1
1075,@mangabeiraunger,Roberto Mangabeira Unger,10,7495,10
1076,@phtavoillot,Tavoillot,10,3448,10
1077,@GSalmieri,Gregory Salmieri,10,2002,12
1078,@ep_mesa,EPMesa,10,1782,9
1079,@finn_janning,Finn Janning,9,2275,5
1080,@AlbaLafarga,Alba Lafarga,9,2215,11
1081,@burakshaman,Burak Şaman,9,1824,8
1082,@gabrielmises,Gabriel Zanotti,7,7576,11
1083,@silvialgil,Silvia L. Gil,7,1226,10
1084,@EveKeneinan,Eve Keneinan 𝛗☦️ن,6,8876,11
1085,@xiscahomar,Xisca Homar,6,1034,11
1086,@filosofiaminuto,Juan Denis // Filosofía en Minutos,5,9278,6
1087,@JasonWerbeloff,Jason Werbeloff,5,1142,12
1088,@BeeFaerie,Deborah Russell MP 🐝,4,7022,12
