,username,accountname,peer follower,follower,time on Twitter
151,@erictweber,Eric Thomas Weber,294,11824,12
152,@RDembroff,Robin Dembroff,294,7286,1
153,@zaranosaur,Zara B,293,8932,9
154,@KathleenACreel,Kathleen Creel,293,2360,3
155,@derGeistbot,geist,292,7284,8
156,@joelmreynolds,Joel Michael Reynolds,290,2903,9
157,@QuillRKukla,Quill Κουκλα 🏳️‍🌈🦄🥊🏋️🦔🦔🦔,290,2513,9
158,@PhilosoKiki,Kristin SW,289,2490,11
159,@RobertTalisse,Robert Talisse,288,7700,10
160,@jennifermmorton,Jennifer Morton,288,3216,12
161,@OwenWintersgill,David Owen (The Home Office remains a disgrace),286,5737,3
162,@alexxdouglas,A X Douglas,285,3685,10
163,@p_realism,Michela Massimi,284,3575,6
164,@DavidHunterTO,David Hunter,284,1839,10
165,@jennfrey,Jennifer A. Frey,283,21533,11
166,@dan_star,Daniel Star,283,1497,12
167,@LizardVentham,Lizard Ventham 🦎,280,1892,7
168,@TWilliamson55,"Timothy Williamson, philosopher, official",277,4014,4
169,@a_brhm,Andreas Vrahimis,275,1578,9
170,@katfurman,Katherine Furman,274,1980,11
171,@danwilliamsphil,Dan Williams,273,3254,11
172,@masa_morioka,Masahiro Morioka,273,2407,12
173,@stephenlaw60,Stephen Law,270,11878,12
174,@chrisschuringa,Christoph Schuringa,269,3497,3
175,@rachelefraser,Rachel Fraser,268,4266,3
176,@shengokai,Dr. Flowers will have tenure AND his revenge.,267,12514,13
177,@larkofadefinite,Gillian Russell,267,2621,13
178,@nickriggle,Nick Riggle,267,1778,9
179,@pencechp,Charles Pence,266,3231,12
180,@APotochnik,Angela Potochnik,265,2423,8
181,@JanaMohrLone,Jana Mohr Lone,264,4648,11
182,@russokrauss,Chiara Russo Krauss 🇪🇺🇮🇹,264,4528,2
183,@lukephilosophy,Luke,264,2228,10
184,@DavidFAHoinski,Modus dei 🥑,263,5830,5
185,@deonteleologist,Sam Hoadley-Brill 🙏 RIP CHARLES MILLS 🐐,262,14331,2
186,@CarissaVeliz,Carissa Véliz,260,16382,10
187,@mood_adrift,Jake Jackson,259,7251,11
188,@BenjaminDYoung,Ben Young,259,4530,13
189,@neilsinhababu,Neil Sinhababu,259,2578,12
190,@FerryDanini,Dr. Juliette,258,21750,9
191,@BrianLeiter,Brian Leiter,258,11327,8
192,@kmlindem,Kathryn Lindeman,258,2079,13
193,@ethicistforhire,Nolen Gertz,257,15756,9
194,@pschofie79,Paul Schofield,257,2872,1
195,@nino_kadic,Nino Kadic 🇺🇦,254,2960,3
196,@AlexJohnLondon,Alex John London,253,5343,5
197,@Guy_fletcher_,Guy Fletcher,253,1751,11
198,@StoljarD,Daniel Stoljar,253,1484,5
199,@juliansavulescu,Julian Savulescu,252,9823,12
200,@aliboyle6,Ali Boyle,252,1791,6
201,@Ljiljana1972,Pelagia,250,7184,5
202,@Joey_K_Pollock,Joey Pollock,250,1384,5
203,@alvanoe,Alva Noe,249,7415,13
204,@siegel_susanna,susanna siegel,249,2107,1
205,@IDyball,Ian Dyball,248,33906,8
206,@AndyWPhilosophy,Andy West,247,9777,6
207,@WilliamMParis,William Paris,247,5679,2
208,@fleurjongepier,Fleur Jongepier,247,4228,8
209,@thisishannahkim,Hannah Kim,246,2133,1
210,@rbnmckenna86,Robin McKenna,246,1510,1
